SN,Z,m_B,Error_m_B
1,0.015,34.1635,0.16145
2,0.015,34.37977,0.21735
3,0.015,34.11141,0.21339
4,0.01503,33.95019,0.17812
5,0.0151,34.52588,0.21368
6,0.01517,34.10167,0.21524
7,0.0152,34.0169,0.21507
8,0.0152,34.25837,0.24147
9,0.0153,34.70719,0.21324
10,0.01544,33.94095,0.14869
11,0.016,34.17402,0.22112
12,0.016,33.82461,0.20796
13,0.0163,34.45325,0.21289
14,0.01632,34.01742,0.20497
15,0.01635,34.04403,0.14291
16,0.01645,34.1813,0.2509
17,0.01656,34.34383,0.25118
18,0.01673,34.22634,0.20946
19,0.01674,34.00273,0.24839
20,0.01699,34.37877,0.30989
21,0.01717,34.26067,0.24822
22,0.01723,34.65437,0.19934
23,0.0173,34.24973,0.21551
24,0.0173,34.23007,0.22099
25,0.01761,34.3438,0.27165
26,0.01793,34.34982,0.15541
27,0.01832,34.37175,0.16046
28,0.0187,35.0483,0.1972
29,0.0189,34.3747,0.20957
30,0.0192,34.73668,0.19784
31,0.0192,34.49156,0.19709
32,0.01926,34.95261,0.24063
33,0.0195,34.75691,0.19753
34,0.0196,34.58522,0.18469
35,0.02037,34.65644,0.1456
36,0.0205,34.61728,0.19141
37,0.0208,34.79546,0.20163
38,0.0209,34.7029,0.19423
39,0.0211,34.66072,0.18839
40,0.0212,34.84713,0.19153
41,0.0215,34.93274,0.18704
42,0.02179,34.97379,0.23245
43,0.0219,34.84899,0.18839
44,0.02198,34.85297,0.18754
45,0.0221,34.91155,0.18996
46,0.0221,34.92213,0.18901
47,0.0224,34.94709,0.23901
48,0.0229,35.19687,0.18546
49,0.0229,35.13863,0.18302
50,0.02297,35.13388,0.13564
51,0.023,35.07064,0.18685
52,0.02321,35.08554,0.23148
53,0.0233,34.88213,0.18342
54,0.0233,35.19836,0.18574
55,0.02354,35.1696,0.2347
56,0.0239,35.03497,0.18139
57,0.02395,34.96871,0.10704
58,0.024,35.17619,0.19551
59,0.02419,35.05232,0.13337
60,0.0242,35.18938,0.18017
61,0.02431,35.1095,0.18166
62,0.02453,35.05817,0.10244
63,0.0247,34.91369,0.18162
64,0.0248,35.25618,0.18461
65,0.0249,34.80371,0.19352
66,0.0251,34.94828,0.17922
67,0.0255,35.72017,0.19617
68,0.0256,35.68472,0.18617
69,0.0259,35.41597,0.17849
70,0.026,35.38129,0.18393
71,0.02604,35.36726,0.1085
72,0.0261,35.36042,0.19247
73,0.02649,35.48069,0.19131
74,0.0266,35.32349,0.17772
75,0.02681,35.26015,0.12788
76,0.02734,35.08577,0.17551
77,0.0275,35.64971,0.17636
78,0.02757,35.47547,0.12812
79,0.0277,35.705,0.1833
80,0.02787,35.09338,0.22243
81,0.0283,35.52027,0.18012
82,0.0284,35.54815,0.1252
83,0.02849,35.34658,0.22391
84,0.0292,35.99257,0.17482
85,0.0298,35.47092,0.12223
86,0.02996,35.97226,0.22437
87,0.0303,35.62826,0.17675
88,0.03053,35.59925,0.08875
89,0.0306,35.55024,0.1733
90,0.0308,35.62898,0.17837
91,0.0308,35.77914,0.17331
92,0.0308,35.5935,0.17249
93,0.0309,35.92947,0.18369
94,0.0312,35.62681,0.18022
95,0.0312,35.88286,0.17376
96,0.0315,35.65114,0.17099
97,0.03153,35.72877,0.22536
98,0.032,35.82669,0.1931
99,0.032,35.5885,0.17345
100,0.0321,35.89599,0.17385
101,0.0321,35.64808,0.17503
102,0.0321,35.87036,0.17374
103,0.03213,35.37813,0.12751
104,0.0325,35.81309,0.17039
105,0.0327,36.09417,0.16949
106,0.0329,35.94177,0.17039
107,0.03291,35.96785,0.11811
108,0.0334,35.87994,0.17577
109,0.0335,35.97383,0.17049
110,0.0336,36.00539,0.18852
111,0.0337,35.84369,0.17974
112,0.0341,35.8419,0.17522
113,0.0341,35.94254,0.17283
114,0.0341,35.77047,0.17757
115,0.0345,35.97824,0.21156
116,0.03572,35.96054,0.17119
117,0.036,35.82102,0.16789
118,0.036,35.67926,0.17902
119,0.036,36.1463,0.177
120,0.0362,35.98687,0.17174
121,0.03646,36.13423,0.21763
122,0.03648,35.90532,0.17017
123,0.0366,35.97129,0.16896
124,0.0377,35.79521,0.29411
125,0.0393,36.3344,0.0991
126,0.0402,36.37453,0.17064
127,0.0406,36.36564,0.17232
128,0.0421,36.40047,0.16993
129,0.04223,36.33646,0.16717
130,0.0423,36.39283,0.17158
131,0.0425,35.9281,0.1953
132,0.04372,36.38657,0.12721
133,0.04498,36.5504,0.10834
134,0.0453,36.64027,0.16498
135,0.04697,36.49441,0.11031
136,0.04839,36.68583,0.11922
137,0.04882,36.38201,0.1603
138,0.04895,36.7316,0.17255
139,0.0491,36.73014,0.17584
140,0.04992,36.56697,0.1623
141,0.05004,36.68237,0.16683
142,0.0522,36.67431,0.18912
143,0.05293,36.81769,0.15576
144,0.05371,36.47644,0.2217
145,0.0544,36.95444,0.0861
146,0.0546,36.60956,0.17666
147,0.05668,36.96362,0.11007
148,0.0576,37.08026,0.16185
149,0.0583,37.03263,0.20626
150,0.0583,37.05829,0.16809
151,0.0589,37.11165,0.16568
152,0.06184,37.13099,0.11568
153,0.06267,37.48341,0.1561
154,0.06386,37.31594,0.11961
155,0.0643,37.1755,0.16601
156,0.0651,37.30669,0.16281
157,0.06644,37.37211,0.11758
158,0.0684,37.7312,0.17059
159,0.0688,37.48664,0.19803
160,0.069,37.56605,0.17616
161,0.07009,37.44674,0.15847
162,0.07461,37.58812,0.15977
163,0.07535,37.58009,0.10227
164,0.0784,37.68224,0.08722
165,0.07858,37.48816,0.15564
166,0.08005,37.68571,0.10197
167,0.0843,38.05183,0.20025
168,0.08569,37.99741,0.11637
169,0.0857,37.99379,0.11797
170,0.08585,37.95244,0.11259
171,0.08759,38.22906,0.18775
172,0.08902,37.82845,0.11743
173,0.09294,38.14583,0.11895
174,0.09315,38.28091,0.11445
175,0.09391,38.17282,0.11795
176,0.10092,38.45675,0.16733
177,0.10272,38.48726,0.11989
178,0.10671,38.63667,0.11762
179,0.10864,38.6505,0.11949
180,0.11304,38.55145,0.11924
181,0.11471,38.6691,0.11337
182,0.11635,38.74614,0.1123
183,0.11728,38.74593,0.1137
184,0.11763,38.57942,0.11361
185,0.11967,38.75554,0.11074
186,0.12283,38.79979,0.12107
187,0.1241,38.82203,0.11161
188,0.12427,38.71999,0.11113
189,0.1244,39.04479,0.16427
190,0.12647,38.71047,0.1192
191,0.12669,38.91521,0.12394
192,0.12873,38.86423,0.10951
193,0.12928,38.918,0.1344
194,0.1299,38.97919,0.12944
195,0.14179,39.27381,0.11952
196,0.1424,39.11648,0.11366
197,0.14371,39.18577,0.11631
198,0.1441,38.83604,0.15678
199,0.14462,39.29083,0.11273
200,0.14567,39.05672,0.12575
201,0.14629,39.55901,0.12025
202,0.14703,39.30358,0.11166
203,0.15186,39.15579,0.11385
204,0.15463,39.32395,0.11205
205,0.15525,39.31732,0.11542
206,0.1561,39.22925,0.08414
207,0.159,39.41636,0.24263
208,0.15989,39.35058,0.11475
209,0.16086,39.31918,0.11864
210,0.1638,39.39456,0.11313
211,0.17063,39.4749,0.11638
212,0.172,39.30223,0.42971
213,0.17274,39.50294,0.11346
214,0.17391,39.53194,0.12897
215,0.1776,40.07068,0.12481
216,0.178,39.45479,0.23575
217,0.17969,39.72096,0.11698
218,0.18,40.18952,0.44545
219,0.18012,39.63858,0.11556
220,0.181,39.68289,0.22709
221,0.18222,39.59382,0.11933
222,0.18255,39.78402,0.11408
223,0.18357,39.7108,0.12378
224,0.18581,39.8241,0.12067
225,0.186,39.71217,0.18904
226,0.18885,39.79204,0.11974
227,0.18971,39.93956,0.11968
228,0.19215,40.03922,0.12109
229,0.19432,39.96152,0.12637
230,0.19672,39.92442,0.13498
231,0.20061,39.85239,0.13287
232,0.20261,39.96776,0.12881
233,0.20498,40.0245,0.12353
234,0.205,39.90377,0.21727
235,0.21094,39.98394,0.12082
236,0.21159,40.56032,0.15932
237,0.21163,39.9801,0.11524
238,0.21255,40.08759,0.13158
239,0.213,40.10904,0.22335
240,0.21457,40.20185,0.11699
241,0.215,40.37806,0.19393
242,0.21554,40.29653,0.14021
243,0.216,40.40491,0.21521
244,0.216,40.55605,0.2441
245,0.21658,40.36027,0.15248
246,0.218,40.07541,0.22222
247,0.21835,40.22085,0.12442
248,0.21859,40.1991,0.11711
249,0.22853,40.25443,0.12201
250,0.23278,40.20453,0.15179
251,0.239,40.25913,0.20417
252,0.24,40.74219,0.40284
253,0.2425,40.13045,0.15092
254,0.24438,40.20193,0.12431
255,0.24851,40.27217,0.12565
256,0.2486,40.61119,0.15452
257,0.24951,40.78092,0.13232
258,0.25067,40.7456,0.12097
259,0.25174,40.54172,0.11844
260,0.25249,40.51842,0.14505
261,0.25549,40.48594,0.15097
262,0.25648,40.61084,0.15629
263,0.2575,40.59416,0.13139
264,0.25774,40.65148,0.13589
265,0.25803,40.64468,0.13711
266,0.26,40.82337,0.19985
267,0.26053,40.80813,0.14828
268,0.26059,40.52317,0.1416
269,0.263,40.63467,0.13457
270,0.26349,40.76732,0.12729
271,0.26365,40.54818,0.13982
272,0.26576,40.49815,0.1248
273,0.266,40.39071,0.25023
274,0.269,40.77616,0.2564
275,0.27043,40.66898,0.14548
276,0.271,40.5323,0.21527
277,0.27345,40.72716,0.16367
278,0.274,40.72465,0.20867
279,0.27544,40.74339,0.14294
280,0.27785,40.83801,0.16899
281,0.278,40.56624,0.19845
282,0.27892,40.76783,0.13016
283,0.27945,40.50128,0.13872
284,0.284,40.83538,0.20662
285,0.285,40.85424,0.13659
286,0.286,41.21113,0.25814
287,0.28662,41.03841,0.1338
288,0.28842,40.84279,0.1496
289,0.2912,40.83906,0.14662
290,0.29247,40.91905,0.1414
291,0.29559,41.13706,0.21506
292,0.29752,40.77221,0.20519
293,0.29841,41.0624,0.21582
294,0.29878,41.02936,0.15454
295,0.3,40.9628,0.31487
296,0.30031,40.84685,0.1515
297,0.30176,41.49381,0.24676
298,0.302,41.3108,0.27235
299,0.3024,41.0332,0.13491
300,0.30858,40.90762,0.17765
301,0.309,41.1738,0.23582
302,0.309,40.86077,0.21486
303,0.30949,41.01819,0.13496
304,0.30955,41.19256,0.15401
305,0.31288,41.01445,0.13951
306,0.314,41.23197,0.24236
307,0.31643,41.39507,0.19287
308,0.32,41.2446,0.421
309,0.32045,41.10279,0.13438
310,0.3264,40.9723,0.14439
311,0.329,41.34026,0.26981
312,0.33051,41.22794,0.15672
313,0.33063,41.05226,0.1527
314,0.331,41.07847,0.1377
315,0.332,41.25548,0.2399
316,0.3373,41.29449,0.13724
317,0.3388,41.30537,0.17091
318,0.3396,41.08397,0.22653
319,0.34,41.21318,0.22819
320,0.34,41.08004,0.23119
321,0.3402,41.32809,0.13555
322,0.341,40.99151,0.2245
323,0.342,41.3846,0.21481
324,0.344,41.17287,0.20977
325,0.346,41.36463,0.15221
326,0.348,41.58963,0.21743
327,0.34835,41.30779,0.21777
328,0.34858,41.30094,0.17737
329,0.352,41.42378,0.22419
330,0.355,41.34231,0.20147
331,0.357,41.42553,0.13772
332,0.35751,41.32884,0.20259
333,0.3578,41.43491,0.1361
334,0.36003,41.1573,0.17505
335,0.36193,41.38445,0.16644
336,0.363,41.55198,0.20817
337,0.3666,41.85986,0.1984
338,0.368,41.4677,0.20718
339,0.369,41.63402,0.15264
340,0.3709,41.6692,0.15483
341,0.374,43.18511,0.9232
342,0.37897,41.58149,0.19709
343,0.37966,41.43306,0.14722
344,0.38,42.06318,0.32783
345,0.38036,41.6575,0.21791
346,0.38042,41.27234,0.19856
347,0.383,41.64203,0.25101
348,0.3873,41.89247,0.18643
349,0.388,42.20761,0.46502
350,0.38929,41.60263,0.20087
351,0.3916,41.50873,0.17156
352,0.39397,41.78115,0.15071
353,0.3965,41.48792,0.20237
354,0.399,41.48808,0.29295
355,0.3996,41.7288,0.20513
356,0.4,42.31277,0.47759
357,0.401,41.69542,0.22931
358,0.401,42.55462,0.36989
359,0.401,41.93563,0.33284
360,0.40246,41.91115,0.21128
361,0.40832,41.84029,0.20637
362,0.41,41.34749,0.25698
363,0.412,41.42371,0.31206
364,0.415,41.87677,0.14109
365,0.416,42.42362,0.55634
366,0.416,41.55754,0.30325
367,0.42093,42.13355,0.20232
368,0.421,42.13603,0.322
369,0.421,42.17963,0.23377
370,0.422,41.72831,0.23071
371,0.423,41.56553,0.24358
372,0.425,41.20213,0.48915
373,0.426,41.76158,0.22492
374,0.429,41.89004,0.21547
375,0.43,41.31886,0.35783
376,0.43,42.39854,0.45833
377,0.43,41.76614,0.60833
378,0.43,41.80194,0.4588
379,0.43,42.18412,0.14817
380,0.43,41.81092,0.15108
381,0.436,41.88002,0.21653
382,0.436,41.92577,0.22826
383,0.44,42.04953,0.31979
384,0.44,42.01065,0.10748
385,0.449,42.02307,0.15706
386,0.45,41.83199,0.4537
387,0.45,42.27097,0.58995
388,0.45,42.40245,0.50829
389,0.451,41.79667,0.14306
390,0.453,42.82121,0.52491
391,0.455,42.32393,0.22963
392,0.46,42.14845,0.2101
393,0.4607,42.07167,0.18126
394,0.4627,42.04228,0.14757
395,0.463,41.94775,0.26646
396,0.465,41.82516,0.60003
397,0.468,42.5489,0.16391
398,0.469,42.35448,0.28315
399,0.47,42.13456,0.15324
400,0.472,41.96916,0.51447
401,0.475,42.10488,0.25596
402,0.477,42.05434,0.1836
403,0.479,42.35176,0.35814
404,0.48,42.15995,0.52142
405,0.49,41.78743,0.44648
406,0.493,42.14691,0.26396
407,0.495,42.11891,0.44365
408,0.495,42.24866,0.23235
409,0.496,42.21468,0.15281
410,0.497,42.32455,0.16798
411,0.497,42.07577,0.22164
412,0.498,42.98372,0.64241
413,0.5,42.363,0.31734
414,0.5043,42.3382,0.14958
415,0.508,42.19427,0.23177
416,0.51,41.88069,0.22676
417,0.511,42.37366,0.08906
418,0.514,42.78619,0.49374
419,0.519,43.07151,0.31446
420,0.521,42.18013,0.161
421,0.521,42.37824,0.19933
422,0.522,42.67733,0.24715
423,0.526,41.95608,0.51368
424,0.526,42.40021,0.16694
425,0.528,42.45435,0.24429
426,0.528,42.36969,0.30265
427,0.532,42.56582,0.16665
428,0.539,42.22666,0.2418
429,0.54,42.42462,0.11155
430,0.54,42.51116,0.28295
431,0.543,42.47881,0.09814
432,0.548,42.2963,0.18837
433,0.55,44.34347,1.00681
434,0.55,42.27565,0.1552
435,0.5516,42.30318,0.14925
436,0.552,42.51093,0.10341
437,0.557,42.55701,0.15746
438,0.561,42.87195,0.30652
439,0.562,43.05052,0.33322
440,0.564,42.37289,0.29202
441,0.568,42.70925,0.28955
442,0.57,42.48911,0.38895
443,0.57,42.67147,0.47038
444,0.571,42.39916,0.17422
445,0.579,43.18636,0.6433
446,0.58,43.30513,0.51996
447,0.581,42.06342,0.50503
448,0.581,42.74232,0.15546
449,0.581,43.66868,0.39124
450,0.5817,42.67204,0.1598
451,0.582,43.16391,0.32521
452,0.583,42.40113,0.28648
453,0.591,43.20911,0.30601
454,0.592,44.15235,0.71796
455,0.592,42.57732,0.17239
456,0.599,42.74346,0.38217
457,0.603,42.6462,0.27863
458,0.604,42.52698,0.15969
459,0.61,42.90497,0.15625
460,0.612,42.81394,0.28302
461,0.613,42.99372,0.1651
462,0.613,42.61671,0.26021
463,0.615,42.54264,0.55622
464,0.619,43.05602,0.24782
465,0.62,43.22796,0.39034
466,0.62,43.00925,0.16956
467,0.623,42.51452,0.24143
468,0.6268,42.75861,0.15723
469,0.631,42.37738,0.24497
470,0.631,42.88183,0.23437
471,0.633,43.04986,0.16996
472,0.633,42.20167,0.25988
473,0.64,42.76425,0.18881
474,0.64,43.16438,0.19375
475,0.64,42.92428,0.28011
476,0.643,43.01127,0.16637
477,0.645,42.81697,0.23427
478,0.655,42.31509,0.49708
479,0.656,43.14486,0.6272
480,0.657,42.97525,0.65873
481,0.67,43.14321,0.20965
482,0.671,42.98201,0.12055
483,0.679,43.45741,0.19597
484,0.68,42.90403,0.29095
485,0.687,42.99639,0.28519
486,0.687,42.83484,0.27254
487,0.688,43.05399,0.16578
488,0.691,43.08877,0.25384
489,0.695,43.2117,0.20545
490,0.698,43.76873,0.43348
491,0.707,43.28243,0.25625
492,0.71,43.02204,0.18428
493,0.711,43.56655,0.36673
494,0.721,43.17568,0.18718
495,0.73,43.277,0.19489
496,0.735,43.09184,0.20058
497,0.74,43.28755,0.1984
498,0.741,43.71725,0.22329
499,0.75,43.243,0.13832
500,0.752,43.30183,0.20707
501,0.756,43.81399,0.19278
502,0.763,44.47242,0.89816
503,0.772,43.50999,0.21883
504,0.78,43.60081,0.17132
505,0.781,43.43723,0.32135
506,0.791,43.57688,0.20134
507,0.799,43.37883,0.23317
508,0.8,43.71406,0.21517
509,0.81,43.36989,0.21269
510,0.811,43.40454,0.21062
511,0.812,43.65357,0.37902
512,0.815,44.0744,0.72892
513,0.816,43.69108,0.45786
514,0.817,43.65156,0.21029
515,0.818,43.39289,0.26756
