SN,ExpFact,D_L,Err_D_L
1,1,0,0
2,0.33333,68.031,5.059
3,0.25,75.155,7.526
4,0.2,66.418,6.53
5,0.16667,61.665,5.06
6,0.14286,80.386,7.913
7,0.125,66.121,6.557
8,0.11111,63.589,6.301
9,0.1,71.069,7.907
10,0.09091,87.386,8.585
11,0.08333,61.404,4.205
12,0.07692,68.361,6.964
13,0.07143,58.2,5.576
14,0.06667,77.742,7.625
15,0.0625,63.605,6.006
16,0.05882,64.389,4.238
17,0.05556,68.59,7.93
18,0.05263,73.921,8.555
19,0.05,70.028,6.758
20,0.04762,63.176,7.23
21,0.04545,75.12,10.73
22,0.04348,71.144,8.137
23,0.04167,85.286,7.832
24,0.04,70.786,7.028
25,0.03846,70.148,7.142
26,0.03704,73.92,9.253
27,0.03571,74.126,5.306
28,0.03448,74.878,5.534
29,0.03333,102.25,9.289
30,0.03226,74.98,7.239
31,0.03125,88.581,8.073
32,0.0303,79.125,7.184
33,0.02941,97.842,10.848
34,0.02857,89.41,8.136
35,0.02778,82.613,7.029
36,0.02703,85.367,5.725
37,0.02632,83.842,7.393
38,0.02564,91.011,8.454
39,0.025,87.214,7.804
40,0.02439,85.536,7.423
41,0.02381,93.203,8.223
42,0.02326,96.951,8.353
43,0.02273,98.801,10.581
44,0.02222,93.283,8.095
45,0.02174,93.454,8.074
46,0.02128,96.01,8.402
47,0.02083,96.478,8.4
48,0.02041,97.594,10.747
49,0.02,109.491,9.354
50,0.01961,106.593,8.987
51,0.01923,106.36,6.645
52,0.01887,103.308,8.892
53,0.01852,104.019,11.094
54,0.01818,94.717,8.003
55,0.01786,109.566,9.375
56,0.01754,108.125,11.692
57,0.01724,101.624,8.492
58,0.01695,98.57,4.859
59,0.01667,108.453,9.768
60,0.01639,102.44,6.293
61,0.01613,109.114,9.056
62,0.01587,105.173,8.801
63,0.01563,102.716,4.846
64,0.01538,96.104,8.04
65,0.01515,112.523,9.569
66,0.01493,91.358,8.144
67,0.01471,97.647,8.062
68,0.01449,139.328,12.591
69,0.01429,137.072,11.755
70,0.01408,121.115,9.958
71,0.01389,119.196,10.099
72,0.0137,118.429,5.918
73,0.01351,118.056,10.467
74,0.01333,124.779,10.997
75,0.01316,116.065,9.502
76,0.01299,112.729,6.64
77,0.01282,104.03,8.411
78,0.01266,134.88,10.958
79,0.0125,124.48,7.346
80,0.01235,138.358,11.683
81,0.0122,104.395,10.698
82,0.01205,127.075,10.544
83,0.0119,128.717,7.422
84,0.01176,117.306,12.101
85,0.01163,157.95,12.72
86,0.01149,124.219,6.993
87,0.01136,156.479,16.176
88,0.01124,133.554,10.874
89,0.01111,131.782,5.386
90,0.01099,128.841,10.285
91,0.01087,133.598,10.977
92,0.01075,143.164,11.429
93,0.01064,131.433,10.443
94,0.01053,153.426,12.983
95,0.01042,133.465,11.08
96,0.01031,150.168,12.02
97,0.0102,134.969,10.631
98,0.0101,139.881,14.524
99,0.01,146.333,13.017
100,0.0099,131.131,10.477
101,0.0098,151.078,12.099
102,0.00971,134.778,10.867
103,0.00962,149.306,11.949
104,0.00952,119.023,6.99
105,0.00943,145.419,11.414
106,0.00935,165.516,12.922
107,0.00926,154.297,12.11
108,0.00917,156.162,8.495
109,0.00909,149.966,12.142
110,0.00901,156.592,12.298
111,0.00893,158.885,13.798
112,0.00885,147.483,12.211
113,0.00877,147.362,11.894
114,0.0087,154.352,12.288
115,0.00862,142.593,11.664
116,0.00855,156.911,15.293
117,0.00847,155.637,12.273
118,0.0084,145.952,11.287
119,0.00833,136.728,11.275
120,0.00826,169.537,13.823
121,0.0082,157.536,12.463
122,0.00813,168.597,16.904
123,0.00806,151.729,11.893
124,0.008,156.409,12.173
125,0.00794,144.227,19.549
126,0.00787,184.878,8.438
127,0.00781,188.326,14.803
128,0.00775,187.557,14.888
129,0.00769,190.589,14.919
130,0.00763,185.053,14.25
131,0.00758,189.92,15.011
132,0.00752,153.329,13.795
133,0.00746,189.373,11.096
134,0.00741,204.214,10.19
135,0.00735,212.843,16.175
136,0.0073,199.015,10.111
137,0.00725,217.356,11.935
138,0.00719,188.976,13.954
139,0.00714,221.986,17.644
140,0.00709,221.836,17.969
141,0.00704,205.778,15.384
142,0.00699,217.01,16.677
143,0.00694,216.206,18.836
144,0.0069,230.963,16.571
145,0.00685,197.375,20.16
146,0.0068,245.976,9.754
147,0.00676,209.854,17.077
148,0.00671,247.018,12.523
149,0.00667,260.65,19.432
150,0.00662,254.995,24.23
151,0.00658,258.026,19.978
152,0.00654,264.445,20.182
153,0.00649,266.811,14.215
154,0.00645,313.825,22.565
155,0.00641,290.532,16.005
156,0.00637,272.336,20.825
157,0.00633,289.297,21.696
158,0.00629,298.145,16.146
159,0.00625,351.759,27.641
160,0.00621,314.292,28.672
161,0.00617,325.998,26.454
162,0.00613,308.57,22.524
163,0.0061,329.329,24.236
164,0.00606,328.113,15.455
165,0.00602,343.917,13.815
166,0.00599,314.512,22.547
167,0.00595,344.467,16.177
168,0.00592,407.729,37.614
169,0.00588,397.638,21.312
170,0.00585,396.975,21.569
171,0.00581,389.487,20.197
172,0.00578,442.403,38.263
173,0.00575,367.871,19.896
174,0.00571,425.767,23.326
175,0.00568,453.093,23.884
176,0.00565,431.092,23.419
177,0.00562,491.31,37.869
178,0.00559,498.262,27.513
179,0.00556,533.752,28.915
180,0.00552,537.163,29.562
181,0.00549,513.211,28.185
182,0.00546,541.784,28.289
183,0.00543,561.35,29.034
184,0.00541,561.296,29.393
185,0.00538,519.864,27.202
186,0.00535,563.785,28.755
187,0.00532,575.392,32.085
188,0.00529,581.315,29.882
189,0.00526,554.631,28.388
190,0.00524,644.116,48.739
191,0.00521,552.204,30.316
192,0.00518,606.803,34.639
193,0.00515,592.723,29.895
194,0.00513,607.583,37.612
195,0.0051,624.948,37.258
196,0.00508,715.761,39.401
197,0.00505,665.736,34.85
198,0.00503,687.322,36.819
199,0.005,585.078,42.252
200,0.00498,721.393,37.455
201,0.00495,647.664,37.512
202,0.00493,816.222,45.206
203,0.0049,725.641,37.318
204,0.00488,677.898,35.546
205,0.00485,732.481,37.801
206,0.00483,730.248,38.819
207,0.00481,701.223,27.173
208,0.00478,764.325,85.447
209,0.00476,741.519,39.19
210,0.00474,730.873,39.937
211,0.00472,756.69,39.427
212,0.00469,785.211,42.088
213,0.00467,725.19,143.742
214,0.00465,795.416,41.565
215,0.00463,806.11,47.884
216,0.00461,1033.1,59.388
217,0.00459,777.972,84.504
218,0.00457,879.424,47.382
219,0.00455,1091.215,224.242
220,0.00452,846.686,45.064
221,0.0045,864.14,90.412
222,0.00448,829.412,45.585
223,0.00446,905.337,47.568
224,0.00444,875.319,49.902
225,0.00442,922.203,51.254
226,0.00441,875.871,76.274
227,0.00439,908.687,50.114
228,0.00437,972.564,53.609
229,0.00435,1018.241,56.789
230,0.00433,982.45,57.182
231,0.00431,965.807,60.045
232,0.00429,934.296,57.178
233,0.00427,985.277,58.455
234,0.00426,1011.361,57.542
235,0.00424,956.666,95.761
236,0.00422,992.646,55.238
237,0.0042,1294.406,94.992
238,0.00418,990.892,52.593
239,0.00417,1041.177,63.1
240,0.00415,1051.512,108.203
241,0.00413,1097.429,59.132
242,0.00412,1190.196,106.33
243,0.0041,1146.338,74.031
244,0.00408,1205.004,119.475
245,0.00407,1291.864,145.298
246,0.00405,1180.485,82.91
247,0.00403,1035.353,106
248,0.00402,1107.074,63.441
249,0.004,1096.04,59.118
250,0.00398,1124.327,63.182
251,0.00397,1098.784,76.823
252,0.00395,1126.763,105.982
253,0.00394,1407.488,261.485
254,0.00392,1061.931,73.821
255,0.00391,1097.47,62.835
256,0.00389,1133.55,65.601
257,0.00388,1325.088,94.312
258,0.00386,1432.817,87.323
259,0.00385,1409.7,78.543
260,0.00383,1283.366,70.008
261,0.00382,1269.669,84.827
262,0.0038,1250.819,86.98
263,0.00379,1324.874,95.378
264,0.00377,1314.736,79.563
265,0.00376,1349.903,84.49
266,0.00375,1345.683,84.983
267,0.00373,1461.103,134.519
268,0.00372,1450.884,99.094
269,0.0037,1272.45,82.99
270,0.00369,1339.494,83.024
271,0.00368,1423.871,83.478
272,0.00366,1287.19,82.896
273,0.00365,1257.872,72.303
274,0.00364,1197.15,138.03
275,0.00362,1429.68,168.91
276,0.00361,1360.826,91.187
277,0.0036,1277.811,126.729
278,0.00358,1397.78,105.38
279,0.00357,1396.165,134.218
280,0.00356,1408.266,92.718
281,0.00355,1470.987,114.505
282,0.00353,1297.94,118.66
283,0.00352,1424.206,85.381
284,0.00351,1259.687,80.486
285,0.0035,1469.206,139.851
286,0.00348,1482.022,93.238
287,0.00347,1746.759,207.774
288,0.00346,1613.202,99.417
289,0.00345,1474.228,101.585
290,0.00344,1471.698,99.39
291,0.00342,1526.922,99.447
292,0.00341,1688.18,167.264
293,0.0034,1427.081,134.9
294,0.00339,1631.124,162.182
295,0.00338,1606.493,114.356
296,0.00337,1557.998,226.113
297,0.00336,1476.987,103.068
298,0.00334,1989.615,226.216
299,0.00333,1828.803,229.523
300,0.00332,1609.336,100.002
301,0.00331,1518.906,124.298
302,0.0033,1716.987,186.555
303,0.00329,1486.486,147.143
304,0.00328,1598.25,99.35
305,0.00327,1731.884,122.859
306,0.00326,1595.5,102.524
307,0.00325,1763.603,196.94
308,0.00324,1901.17,168.918
309,0.00323,1773.891,344.457
310,0.00322,1661.747,102.853
311,0.00321,1564.829,104.071
312,0.00319,1853.783,230.485
313,0.00318,1760.333,127.075
314,0.00317,1623.524,114.192
315,0.00316,1643.239,104.221
316,0.00315,1782.801,197.061
317,0.00314,1815.118,114.737
318,0.00313,1824.236,143.617
319,0.00313,1647.407,171.937
320,0.00312,1748.409,183.817
321,0.00311,1644.428,175.16
322,0.0031,1843.423,115.091
323,0.00309,1578.733,163.292
324,0.00308,1892.025,187.243
325,0.00307,1716.251,165.859
326,0.00306,1874.705,131.435
327,0.00305,2079.376,208.296
328,0.00304,1826.27,183.228
329,0.00303,1820.518,148.745
330,0.00302,1926.473,198.984
331,0.00301,1855.534,172.219
332,0.003,1928.027,122.301
333,0.00299,1844.06,172.106
334,0.00299,1936.373,121.385
335,0.00298,1703.989,137.402
336,0.00297,1891.895,145.047
337,0.00296,2043.634,195.99
338,0.00295,2354.936,215.238
339,0.00294,1965.835,187.632
340,0.00293,2122.321,149.216
341,0.00292,2156.985,153.83
342,0.00292,4335.406,1857.112
343,0.00291,2071.596,188.09
344,0.0029,1934.724,131.194
345,0.00289,2586.088,390.797
346,0.00288,2145.394,215.384
347,0.00287,1796.697,164.348
348,0.00287,2130.164,246.373
349,0.00286,2390.569,205.304
350,0.00285,2763.945,593.031
351,0.00284,2091.862,193.575
352,0.00283,2003.332,158.317
353,0.00282,2271.105,157.657
354,0.00282,1984.226,184.987
355,0.00281,1984.372,267.912
356,0.0028,2217.007,209.51
357,0.00279,2901.091,639.349
358,0.00279,2183.188,230.655
359,0.00278,3242.885,553.064
360,0.00277,2438.559,374.145
361,0.00276,2411.222,234.7
362,0.00275,2333.808,221.882
363,0.00275,1859.966,220.244
364,0.00274,1926.411,277.081
365,0.00273,2373.347,154.234
366,0.00272,3053.032,784.342
367,0.00272,2048.873,286.362
368,0.00271,2671.267,248.977
369,0.0027,2674.32,396.93
370,0.0027,2728.559,293.886
371,0.00269,2216.507,235.606
372,0.00268,2056.426,230.796
373,0.00267,1739.534,392.681
374,0.00267,2250.729,233.234
375,0.00266,2387.895,237.043
376,0.00265,1835.604,302.826
377,0.00265,3017.973,638.184
378,0.00264,2255.46,633.928
379,0.00263,2292.953,485.37
380,0.00262,2734.207,186.605
381,0.00262,2302.455,160.226
382,0.00261,2376.902,237.113
383,0.0026,2427.511,255.292
384,0.0026,2569.882,378.806
385,0.00259,2524.278,124.956
386,0.00258,2538.758,183.666
387,0.00258,2324.905,486.643
388,0.00257,2845.78,775.529
389,0.00256,3023.413,709.327
390,0.00256,2287.395,150.725
391,0.00255,3666.482,888.46
392,0.00254,2916.039,308.511
393,0.00254,2689.66,260.339
394,0.00253,2596.219,216.778
395,0.00253,2561.317,174.097
396,0.00252,2452.208,301.098
397,0.00251,2317.604,642.45
398,0.00251,3234.353,244.198
399,0.0025,2957.355,385.899
400,0.00249,2672.51,188.638
401,0.00249,2476.505,588.114
402,0.00248,2636.23,310.923
403,0.00248,2575.581,217.833
404,0.00247,2953.652,487.698
405,0.00246,2703.942,650.84
406,0.00246,2277.682,469.144
407,0.00245,2687.753,326.92
408,0.00244,2653.318,543.04
409,0.00244,2816.692,301.534
410,0.00243,2772.958,195.178
411,0.00243,2916.872,225.699
412,0.00242,2601.125,265.61
413,0.00242,3951.406,1173.257
414,0.00241,2968.981,434.275
415,0.0024,2935.265,202.234
416,0.0024,2747.017,293.34
417,0.00239,2377.635,248.402
418,0.00239,2983.592,122.377
419,0.00238,3607.826,822.102
420,0.00238,4114.43,596.35
421,0.00237,2729.187,202.398
422,0.00236,2989.891,274.554
423,0.00236,3431.417,390.765
424,0.00235,2461.633,583.68
425,0.00235,3020.295,232.254
426,0.00234,3096.545,348.545
427,0.00234,2978.142,415.417
428,0.00233,3259.654,250.225
429,0.00233,2788.299,310.647
430,0.00232,3054.439,156.926
431,0.00231,3178.626,414.479
432,0.00231,3131.623,141.546
433,0.0023,2879.17,249.84
434,0.0023,7390.984,3457.638
435,0.00229,2851.92,203.877
436,0.00229,2888.307,198.559
437,0.00228,3178.29,151.371
438,0.00228,3246.456,235.462
439,0.00227,3753.165,530.229
440,0.00227,4074.851,625.915
441,0.00226,2982.534,401.395
442,0.00226,3482.231,464.675
443,0.00225,3146.512,564.352
444,0.00225,3422.17,742.755
445,0.00224,3018.835,242.27
446,0.00224,4337.902,1289.813
447,0.00223,4581.775,1099.733
448,0.00223,2586.374,602.884
449,0.00222,3535.669,253.18
450,0.00222,5416.814,977.285
451,0.00221,3423.068,251.963
452,0.00221,4293.285,643.585
453,0.0022,3021.575,398.923
454,0.0022,4383.588,618.26
455,0.00219,6768.278,2248.026
456,0.00219,3276.963,260.222
457,0.00218,3537.525,623.395
458,0.00218,3382.576,434.33
459,0.00217,3201.868,235.519
460,0.00217,3810.673,274.26
461,0.00216,3654.228,476.614
462,0.00216,3969.645,301.891
463,0.00216,3336.949,400.11
464,0.00215,3225.043,828.353
465,0.00215,4085.185,466.477
466,0.00214,4421.807,795.928
467,0.00214,3998.137,312.276
468,0.00213,3183.548,354.138
469,0.00213,3562.292,257.992
470,0.00212,2988.707,337.344
471,0.00212,3770.28,407.13
472,0.00211,4073.612,318.922
473,0.00211,2756.394,330.081
474,0.00211,3571.557,310.646
475,0.0021,4294.215,383.28
476,0.0021,3844.71,496.295
477,0.00209,4001.858,306.683
478,0.00209,3659.33,394.98
479,0.00208,2904.192,666.264
480,0.00208,4255.786,1233.505
481,0.00207,3936.023,1198.604
482,0.00207,4252.553,410.733
483,0.00207,3948.296,219.22
484,0.00206,4914.619,443.684
485,0.00206,3809.023,510.744
486,0.00205,3974.529,522.371
487,0.00205,3689.569,463.38
488,0.00204,4081.367,311.666
489,0.00204,4147.264,485.083
490,0.00204,4388.82,415.396
491,0.00203,5672.232,1134.202
492,0.00203,4534.128,535.373
493,0.00202,4021.756,341.406
494,0.00202,5167.945,873.83
495,0.00202,4316.619,372.207
496,0.00201,4522.804,406.06
497,0.00201,4153.132,383.764
498,0.002,4544.832,415.391
499,0.002,5539.339,569.856
500,0.002,4452.539,283.67
501,0.00199,4574.818,436.417
502,0.00199,5791.699,514.348
503,0.00198,7843.182,3267.262
504,0.00198,5035.074,507.625
505,0.00198,5250.128,414.321
506,0.00197,4869.158,721.232
507,0.00197,5192.589,481.633
508,0.00196,4739.951,509.216
509,0.00196,5531.208,548.31
510,0.00196,4720.476,462.544
511,0.00195,4796.405,465.406
512,0.00195,5379.253,940.117
