SN,ExpFact,D_L,Err_D_L
1,1,0,0
2,0.9897,55.72,8.5
3,0.9897,43.85,6.49
4,0.9897,51.52,7.38
5,0.987,63.68,7.64
6,0.9866,55.72,6.69
7,0.9861,66.99,7.73
8,0.9861,66.68,7.69
9,0.9861,76.91,9.23
10,0.985,66.37,7.66
11,0.9845,82.41,9.13
12,0.9842,79.43,8.8
13,0.9841,66.99,7.11
14,0.9839,76.21,8.44
15,0.9838,58.08,7.24
16,0.9837,80.91,8.59
17,0.9836,69.5,7.38
18,0.9833,78.34,8.31
19,0.9833,68.55,7.27
20,0.9832,86.3,9.56
21,0.9828,80.17,9.25
22,0.9825,87.1,9.24
23,0.9823,72.11,7.65
24,0.9817,98.17,9.96
25,0.9811,82.79,8.79
26,0.9787,102.8,9.96
27,0.9786,87.1,8.84
28,0.9772,106.66,10.33
29,0.9771,118.03,10.89
30,0.9762,104.23,9.61
31,0.9755,104.23,10.1
32,0.9749,120.78,11.14
33,0.9747,133.05,12.27
34,0.9745,102.8,11.39
35,0.9742,134.28,12.38
36,0.9741,118.03,11.43
37,0.9731,151.36,13.96
38,0.9722,127.64,12.36
39,0.9718,138.04,12.09
40,0.9712,167.49,15.45
41,0.9702,151.36,13.96
42,0.9694,147.91,12.96
43,0.9683,164.44,14.41
44,0.968,128.23,11.83
45,0.9664,171.4,15.02
46,0.9653,171.4,15.02
47,0.9653,159.22,14.69
48,0.9653,189.67,15.74
49,0.9634,215.77,17.91
50,0.9615,188.8,16.54
51,0.9588,202.3,17.72
52,0.9569,247.74,20.56
53,0.956,186.21,18.04
54,0.9533,239.88,22.13
55,0.9533,201.37,18.57
56,0.9524,233.35,22.6
57,0.9524,260.62,22.83
58,0.9506,270.4,22.44
59,0.9497,247.74,20.56
60,0.947,289.73,24.04
61,0.9452,266.69,23.36
62,0.9425,288.4,29.27
63,0.9407,341.98,29.96
64,0.9337,359.75,31.52
65,0.9302,358.1,31.37
66,0.9268,387.26,32.14
67,0.9191,411.15,53.16
68,0.9083,557.19,51.39
69,0.8897,691.83,70.21
70,0.8532,907.82,75.34
71,0.8475,990.83,82.23
72,0.7825,1584.89,301.03
73,0.7692,1592.21,183.72
74,0.7576,1949.84,161.81
75,0.7496,1527.57,211.71
76,0.7463,1386.76,172.87
77,0.7246,2535.13,257.28
78,0.7205,2594.18,227.28
79,0.7158,1506.61,208.81
80,0.7143,2558.59,224.16
81,0.7062,2630.27,230.44
82,0.7042,2249.05,238.66
83,0.7018,2187.76,405.28
84,0.6993,2924.15,459.72
85,0.6993,2500.35,207.5
86,0.6993,2964.83,342.09
87,0.6944,3265.88,605.01
88,0.6944,2606.15,228.32
89,0.6897,2666.86,258.31
90,0.6897,2630.27,279.12
91,0.6873,2870.78,371.2
92,0.6849,2322.74,430.29
93,0.6849,3250.87,405.25
94,0.6803,3531.83,374.79
95,0.6803,3580.96,346.85
96,0.6793,3104.56,271.99
97,0.678,2679.17,234.72
98,0.677,2992.26,289.83
99,0.6766,3133.29,332.5
100,0.6757,2978.52,274.72
101,0.6711,3033.89,350.06
102,0.6689,2818.38,246.92
103,0.6667,3531.83,325.75
104,0.6667,3548.13,310.85
105,0.6667,3548.13,392.95
106,0.6631,2128.14,344.5
107,0.6588,3681.29,510.21
108,0.6553,3250.87,269.78
109,0.6553,3999.45,498.57
110,0.6545,3580.96,413.19
111,0.6502,3404.08,282.5
112,0.6494,2466.04,468.39
113,0.6481,3435.58,300.99
114,0.6369,3647.54,420.87
115,0.6369,3767.04,539.61
116,0.6333,3732.5,327
117,0.6329,4055.09,392.77
118,0.6325,3357.38,294.14
119,0.6192,3715.35,394.26
120,0.6173,4187.94,580.43
121,0.6135,3341.95,370.12
122,0.6098,4111.5,398.24
123,0.6035,4508.17,415.8
124,0.5988,4345.1,561.83
125,0.5848,4073.8,602.51
126,0.5764,4149.54,363.54
127,0.5747,4677.35,648.26
128,0.5647,4207.27,329.71
129,0.5624,5780.96,935.82
130,0.5562,5970.35,855.23
131,0.5522,6223,1007.38
132,0.551,5649.37,861.85
133,0.551,6576.58,850.37
134,0.547,6194.41,1322.05
135,0.547,5272.3,1500.63
136,0.5464,5888.44,515.89
137,0.5459,5128.61,686.96
138,0.5438,5915.62,600.36
139,0.5376,6397.35,886.64
140,0.5339,5623.41,989.11
141,0.5313,6025.6,835.12
142,0.5308,7014.55,614.54
143,0.5302,3819.44,1457.99
144,0.5266,5345.64,616.8
145,0.5155,5942.92,548.14
146,0.5131,6280.58,724.68
147,0.5128,6486.34,778.5
148,0.5118,7177.94,1028.21
149,0.5058,6053.41,726.53
150,0.4864,7079.46,751.25
151,0.4673,9289.66,1287.5
152,0.4566,6886.52,1082.67
153,0.4415,10964.78,1011.32
154,0.4348,11324,992.1
155,0.4338,8709.64,883.92
156,0.4274,10232.93,1180.71
157,0.392,11481.54,1165.23
158,0.363,12764.39,2066.3
