SN,Z,m_B,Error_m_B
1,0.0104,33.73,0.33
2,0.0104,33.21,0.32
3,0.0104,33.56,0.31
4,0.0132,34.02,0.26
5,0.0136,33.73,0.26
6,0.0141,34.13,0.25
7,0.0141,34.12,0.25
8,0.0141,34.43,0.26
9,0.0152,34.11,0.25
10,0.0157,34.58,0.24
11,0.0161,34.5,0.24
12,0.0162,34.13,0.23
13,0.0164,34.41,0.24
14,0.0165,33.82,0.27
15,0.0166,34.54,0.23
16,0.0167,34.21,0.23
17,0.017,34.47,0.23
18,0.017,34.18,0.23
19,0.0171,34.68,0.24
20,0.0175,34.52,0.25
21,0.0178,34.7,0.23
22,0.018,34.29,0.23
23,0.0186,34.96,0.22
24,0.0193,34.59,0.23
25,0.0218,35.06,0.21
26,0.0219,34.7,0.22
27,0.0233,35.14,0.21
28,0.0234,35.36,0.2
29,0.0244,35.09,0.2
30,0.0251,35.09,0.21
31,0.0257,35.41,0.2
32,0.026,35.62,0.2
33,0.0262,35.06,0.24
34,0.0265,35.64,0.2
35,0.0266,35.36,0.21
36,0.0276,35.9,0.2
37,0.0286,35.53,0.21
38,0.029,35.7,0.19
39,0.0297,36.12,0.2
40,0.0307,35.9,0.2
41,0.0316,35.85,0.19
42,0.0327,36.08,0.19
43,0.0331,35.54,0.2
44,0.0348,36.17,0.19
45,0.036,36.17,0.19
46,0.036,36.01,0.2
47,0.036,36.39,0.18
48,0.038,36.67,0.18
49,0.04,36.38,0.19
50,0.043,36.53,0.19
51,0.045,36.97,0.18
52,0.046,36.35,0.21
53,0.049,36.9,0.2
54,0.049,36.52,0.2
55,0.05,36.84,0.21
56,0.05,37.08,0.19
57,0.052,37.16,0.18
58,0.053,36.97,0.18
59,0.056,37.31,0.18
60,0.058,37.13,0.19
61,0.061,37.3,0.22
62,0.063,37.67,0.19
63,0.071,37.78,0.19
64,0.075,37.77,0.19
65,0.079,37.94,0.18
66,0.088,38.07,0.28
67,0.101,38.73,0.2
68,0.124,39.2,0.22
69,0.172,39.79,0.18
70,0.18,39.98,0.18
71,0.278,41,0.41
72,0.3,41.01,0.25
73,0.32,41.45,0.18
74,0.334,40.92,0.3
75,0.34,40.71,0.27
76,0.38,42.02,0.22
77,0.388,42.07,0.19
78,0.397,40.89,0.3
79,0.4,42.04,0.19
80,0.416,42.1,0.19
81,0.42,41.76,0.23
82,0.425,41.7,0.4
83,0.43,42.33,0.34
84,0.43,41.99,0.18
85,0.43,42.36,0.25
86,0.44,42.57,0.4
87,0.44,42.08,0.19
88,0.45,42.13,0.21
89,0.45,42.1,0.23
90,0.455,42.29,0.28
91,0.46,41.83,0.4
92,0.46,42.56,0.27
93,0.47,42.74,0.23
94,0.47,42.77,0.21
95,0.472,42.46,0.19
96,0.475,42.14,0.19
97,0.477,42.38,0.21
98,0.478,42.48,0.23
99,0.48,42.37,0.2
100,0.49,42.41,0.25
101,0.495,42.25,0.19
102,0.5,42.74,0.2
103,0.5,42.75,0.19
104,0.5,42.75,0.24
105,0.508,41.64,0.35
106,0.518,42.83,0.3
107,0.526,42.56,0.18
108,0.526,43.01,0.27
109,0.528,42.77,0.25
110,0.538,42.66,0.18
111,0.54,41.96,0.41
112,0.543,42.68,0.19
113,0.57,42.81,0.25
114,0.57,42.88,0.31
115,0.579,42.86,0.19
116,0.58,43.04,0.21
117,0.581,42.63,0.19
118,0.615,42.85,0.23
119,0.62,43.11,0.3
120,0.63,42.62,0.24
121,0.64,43.07,0.21
122,0.657,43.27,0.2
123,0.67,43.19,0.28
124,0.71,43.05,0.32
125,0.735,43.09,0.19
126,0.74,43.35,0.3
127,0.771,43.12,0.17
128,0.778,43.81,0.35
129,0.798,43.88,0.31
130,0.811,43.97,0.35
131,0.815,43.76,0.33
132,0.815,44.09,0.28
133,0.828,43.96,0.46
134,0.828,43.61,0.61
135,0.83,43.85,0.19
136,0.832,43.55,0.29
137,0.839,43.86,0.22
138,0.86,44.03,0.3
139,0.873,43.75,0.38
140,0.882,43.9,0.3
141,0.884,44.23,0.19
142,0.886,42.91,0.81
143,0.899,43.64,0.25
144,0.94,43.87,0.2
145,0.949,43.99,0.25
146,0.95,44.06,0.26
147,0.954,44.28,0.31
148,0.977,43.91,0.26
149,1.056,44.25,0.23
150,1.14,44.84,0.3
151,1.19,44.19,0.34
152,1.265,45.2,0.2
153,1.3,45.27,0.19
154,1.305,44.7,0.22
155,1.34,45.05,0.25
156,1.551,45.3,0.22
157,1.755,45.53,0.35
