SN,ExpFact,D_L,Err_D_L
Earth,1,0,0
1993ah,0.9723,116.71,12.16
1993ag,0.9523,216.32,16.65
1993o,0.9497,230.88,16.58
1993b,0.9345,307.66,22.49
1992bs,0.941,313.38,22.56
1992br,0.9195,442.86,38.68
1992bp,0.9271,314.49,22.57
1992bo,0.9831,85.23,7.83
1992bl,0.9595,184.94,14.28
1992bh,0.9567,212.12,16.15
1992bg,0.9648,151.56,11.9
1992bc,0.9808,82.6,7.03
1992aq,0.9083,491.25,37.97
1992ag,0.9734,103.48,8.38
1992ae,0.9306,328.98,24.26
1992p,0.9742,124.39,10.97
1990af,0.9525,205.47,15.38
1990o,0.9703,128.68,10.29
2001cz,0.9839,64.14,4.26
2001cn,0.9848,61.06,4.21
2001ba,0.9704,131.75,5.49
2000ca,0.9761,102.75,4.92
2000bh,0.9766,98.31,4.92
1999gp,0.9746,118.06,5.99
1993ac,0.9533,221.06,17.91
1994m,0.9763,104.66,8.91
1994s,0.9851,65.91,6.61
1994t,0.9655,156.92,12.62
1995ac,0.9535,188.25,14.19
1995ak,0.9785,93.23,8.19
1996c,0.9732,134.54,11.13
1996ab,0.8894,644.9,49.83
1996bl,0.9653,145.66,11.48
1996bv,0.9835,69.62,6.8
1996bo,0.9839,63.01,6.03
2000fa,0.9787,98.46,10.5
2000dk,0.9838,68.49,7.89
2000cn,0.9773,103.56,11
2000cf,0.9648,168.35,16.8
1999gd,0.9811,96.79,10.69
1999ek,0.9827,73.59,9.18
1999cc,0.9694,139.38,14.41
1998eg,0.977,107.92,11.62
1998ef,0.9835,63.16,7.2
1998dx,0.949,197.12,20.05
1998co,0.9833,74.91,10.65
1998ab,0.9729,103.74,10.58
1998v,0.9831,71.02,8.09
1997dg,0.9709,156.28,16.08
1997y,0.9837,73.65,8.5
1999aa,0.9852,67.96,5.04
1999ao,0.9484,245.28,9.62
1999ar,0.865,700.73,26.84
1999aw,0.9622,184.47,8.36
1999bi,0.8896,577.82,29.53
1999bm,0.874,583.1,42
1999bn,0.885,624.24,37.1
1999bp,0.9273,343.31,13.66
2001ah,0.9449,253.83,23.35
2001ay,0.97,152.42,12.4
2001az,0.961,187.38,14.21
2001bf,0.985,63.47,6.11
2001cp,0.9781,98.2,10.52
2001da,0.9843,68.12,6.76
2001eh,0.9651,157.17,11.88
