SN,Z,m_B,Error_m_B
1993ah,0.028488,35.3356,0.2261
1993ag,0.050043,36.6754,0.1671
1993o,0.052926,36.8169,0.1559
1993b,0.070086,37.4403,0.1587
1992bs,0.062668,37.4803,0.1563
1992br,0.087589,38.2313,0.1896
1992bp,0.078577,37.488,0.1558
1992bo,0.017227,34.6529,0.1995
1992bl,0.042233,36.3351,0.1676
1992bh,0.045295,36.6329,0.1653
1992bg,0.03648,35.9029,0.1704
1992bc,0.019599,34.5849,0.1847
1992aq,0.100915,38.4565,0.1678
1992ag,0.027342,35.0743,0.1757
1992ae,0.074605,37.5858,0.1601
1992p,0.026489,35.474,0.1915
1990af,0.049922,36.5637,0.1625
1990o,0.030604,35.5475,0.1735
2001cz,0.016345,34.0358,0.144
2001cn,0.0154363,33.9289,0.1498
2001ba,0.030529,35.5987,0.0906
2000ca,0.024525,35.0588,0.104
2000bh,0.023953,34.9629,0.1087
1999gp,0.026038,35.3604,0.1102
1993ac,0.048948,36.7225,0.1759
1994m,0.024314,35.0989,0.1848
1994s,0.015166,34.0946,0.2178
1994t,0.03572,35.9784,0.1746
1995ac,0.048818,36.3736,0.1637
1995ak,0.02198,34.8478,0.1906
1996c,0.0275,35.6443,0.1795
1996ab,0.1244,39.0474,0.1677
1996bl,0.036,35.8167,0.1711
1996bv,0.01673,34.2137,0.2121
1996bo,0.016321,33.9969,0.2076
2000fa,0.021793,34.9663,0.2315
2000dk,0.01645,34.1783,0.25
2000cn,0.023208,35.076,0.2305
2000cf,0.036457,36.1311,0.2166
1999gd,0.019264,34.9291,0.2398
1999ek,0.017605,34.3342,0.2708
1999cc,0.031528,35.721,0.2244
1998eg,0.023536,35.1655,0.2337
1998ef,0.016743,34.0023,0.2475
1998dx,0.05371,36.4736,0.2208
1998co,0.016991,34.3727,0.3084
1998ab,0.027865,35.0797,0.2214
1998v,0.017173,34.2568,0.2473
1997dg,0.029955,35.9695,0.2234
1997y,0.016559,34.336,0.2504
1999aa,0.015,34.1611,0.1609
1999ao,0.0544,36.9483,0.0852
1999ar,0.1561,39.2277,0.0832
1999aw,0.0393,36.3296,0.0984
1999bi,0.1241,38.8089,0.111
1999bm,0.1441,38.8287,0.1564
1999bn,0.1299,38.9767,0.129
1999bp,0.0784,37.6784,0.0864
2001ah,0.0583,37.0227,0.1997
2001ay,0.0309,35.9151,0.1767
2001az,0.0406,36.3636,0.1646
2001bf,0.0152,34.0128,0.2091
2001cp,0.0224,34.9604,0.2326
2001da,0.016,34.1665,0.2153
2001eh,0.0362,35.9818,0.1642
2001g,0.0173,34.2482,0.2101
2001ie,0.0312,35.6191,0.1731
2001n,0.0221,34.8881,0.1832
2001v,0.016,33.8143,0.2017
2002bf,0.0249,34.7845,0.187
2002ck,0.0303,35.6227,0.1694
2002de,0.0283,35.5095,0.1727
2002do,0.0152,34.2612,0.2364
2002g,0.0345,35.9597,0.2054
2002hd,0.036,35.6729,0.1715
2002he,0.0248,35.255,0.1775
2002hu,0.0292,35.991,0.1673
2002hw,0.0163,34.4289,0.2069
2002jy,0.0187,35.0399,0.1906
2002kf,0.0195,34.7556,0.191
2003ch,0.0256,35.6822,0.1792
2003cq,0.0337,35.8268,0.1729
2003ic,0.0546,36.6034,0.1695
2003it,0.024,35.1709,0.1891
2003iv,0.0336,36.0055,0.1817
2003kc,0.0341,35.8324,0.1679
2003u,0.0261,35.3541,0.1856
2003w,0.0211,34.6495,0.1815
2004as,0.0321,35.8862,0.1663
